source_name,local_file,size_bytes,sha256,official_url,role,pipeline_status
SEC CompanyFacts,raw/delta_companyfacts.json,3369064,9cee00021ec9032b910b0a1f69f66eb1a73bab9ca8427f8aae9030be3a0225b0,https://data.sec.gov/api/xbrl/companyfacts/CIK0000027904.json,Core GAAP financial actuals,used
Delta 2025 10-K XBRL workbook,raw/delta_2025_10k.xls,287280,ce931a830b6b9b4e55504b19ec93e754f18bae9086596a8415ab6ba27fe5baf5,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000027904/0db061b6-3e78-4a3a-8131-9b65c5210ab7.xls,Retained raw filing workbook for cross-checks and future management-KPI extraction,retained_raw
Delta 2026 Q2 10-Q XBRL workbook,raw/delta_2026_q2_10q.xls,202526,8c0cd8a8e0993ae38bea2f2d8953b50f9ef2ce8b2c60c212e37887182929d0c6,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000027904/47a4a84f-7c64-4145-b2b4-288bed9a4037.xls,Retained raw filing workbook for current-quarter cross-checks and future management-KPI extraction,retained_raw
FAA NASR airport CSV,raw/faa_airports_2026-09-03.zip,8043752,d5e4c999d4c96ab4d66d8ce9a387de8ea59b5226a6144ea1ba58758ff29bbbd9,https://nfdc.faa.gov/webContent/28DaySub/extra/03_Sep_2026_APT_CSV.zip,U.S. airport coordinate fallback/enrichment,used_fallback
BTS T-100 Domestic Segment,raw/t100/domestic/current_202506_202605.zip,9778502,f4600207ecc2b99bbfb6b30b0d7351de10128e92c26d109f586f365e0c82992c,https://www.bts.gov/sites/bts.dot.gov/files/docs/airline-data/domestic-segments/DB28SEG.DD.WAC.202506.202605.REL01.04AUG2026.zip,DL-reported segment traffic and capacity,used
BTS T-100 International Segment,raw/t100/international/current_202506_202605.zip,2453365,8101e0ec2fb637c65dd8ecab543d60485950eb16431e3f28bca33bb8520ef40e,https://www.bts.gov/sites/bts.dot.gov/files/docs/airline-data/international-segments/DB28SEG.FD.WAC.202506.202605.REL01.04AUG2026.zip,DL-reported segment traffic and capacity,used
